OBSERVED,,,,,,,,,EXPECTED ,,,,,,
,rf1indian,rf1asian,rf1afam,rf1hawaii,rf1white,rf1hispanic,SUM,,,rf1indian,rf1asian,rf1afam,rf1hawaii,rf1white,rf1hispanic
0,0.4614175703,0.2129061742,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,
0,0.2307087852,0.0532265436,,,,,,,,,,,,,
0,0.2307087852,0.0532265436,,,,,,,,,,,,,
0,0.4183561213,0.1750218443,,,,,,,,,,,,,
14,21.126984127,50.7939027463,,,,,,,,,,,,,
398,676.2726701242,77435.6789380269,,,,,,,,,,,,,
0,1.255068364,1.5751965983,,,,,,,,,,,,,
309,246.6209335219,3891.1479346763,,,,,,,,,,,,,
106,59.8249253497,2132.1375189628,,,,,,,,,,,,,
190,138.0575200377,2698.0212246321,,,,,,,,,,,,,
12,6.9028760019,25.9806730522,,,,,,,,,,,,,
94,57.9423228037,1300.1560847919,,,,,,,,,,,,,
204,119.4406726387,7150.2798437968,,,,,,,,,,,,,
3,2.0917806066,0.8248624665,,,,,,,,,,,,,
1,0.4183561213,0.3383096016,,,,,,,,,,,,,
0,0.2091780607,0.0437554611,,,,,,,,,,,,,
0,0.2091780607,0.0437554611,,,,,,,,,,,,,
0,0.2091780607,0.0437554611,,,,,,,,,,,,,
,EXPECTED,SUM[(OBSERVED-EXPECTED)^2],CHI,DF,,,,,,,,,,,
,6362.7692912148,1019864.71535648,160.2862949572,70,,,,,,,,,,,
